,match_link,json_links
88,https://www.ncaa.com/game/4022962,https://data.ncaa.com/casablanca/game/4022962/boxscore.json
89,https://www.ncaa.com/game/3961061,https://data.ncaa.com/casablanca/game/3961061/boxscore.json
90,https://www.ncaa.com/game/3961074,https://data.ncaa.com/casablanca/game/3961074/boxscore.json
91,https://www.ncaa.com/game/3961083,https://data.ncaa.com/casablanca/game/3961083/boxscore.json
92,https://www.ncaa.com/game/3961092,https://data.ncaa.com/casablanca/game/3961092/boxscore.json
93,https://www.ncaa.com/game/4024261,https://data.ncaa.com/casablanca/game/4024261/boxscore.json
94,https://www.ncaa.com/game/3968622,https://data.ncaa.com/casablanca/game/3968622/boxscore.json
95,https://www.ncaa.com/game/3961177,https://data.ncaa.com/casablanca/game/3961177/boxscore.json
96,https://www.ncaa.com/game/3961082,https://data.ncaa.com/casablanca/game/3961082/boxscore.json
97,https://www.ncaa.com/game/3961187,https://data.ncaa.com/casablanca/game/3961187/boxscore.json
98,https://www.ncaa.com/game/3972144,https://data.ncaa.com/casablanca/game/3972144/boxscore.json
99,https://www.ncaa.com/game/3961212,https://data.ncaa.com/casablanca/game/3961212/boxscore.json
100,https://www.ncaa.com/game/3961220,https://data.ncaa.com/casablanca/game/3961220/boxscore.json
101,https://www.ncaa.com/game/4028121,https://data.ncaa.com/casablanca/game/4028121/boxscore.json
102,https://www.ncaa.com/game/3961282,https://data.ncaa.com/casablanca/game/3961282/boxscore.json
103,https://www.ncaa.com/game/3961291,https://data.ncaa.com/casablanca/game/3961291/boxscore.json
104,https://www.ncaa.com/game/3961297,https://data.ncaa.com/casablanca/game/3961297/boxscore.json
105,https://www.ncaa.com/game/3961310,https://data.ncaa.com/casablanca/game/3961310/boxscore.json
106,https://www.ncaa.com/game/3961320,https://data.ncaa.com/casablanca/game/3961320/boxscore.json
107,https://www.ncaa.com/game/3961333,https://data.ncaa.com/casablanca/game/3961333/boxscore.json
108,https://www.ncaa.com/game/3961355,https://data.ncaa.com/casablanca/game/3961355/boxscore.json
109,https://www.ncaa.com/game/3960470,https://data.ncaa.com/casablanca/game/3960470/boxscore.json
110,https://www.ncaa.com/game/3961399,https://data.ncaa.com/casablanca/game/3961399/boxscore.json
111,https://www.ncaa.com/game/3961400,https://data.ncaa.com/casablanca/game/3961400/boxscore.json
112,https://www.ncaa.com/game/3961407,https://data.ncaa.com/casablanca/game/3961407/boxscore.json
113,https://www.ncaa.com/game/3961421,https://data.ncaa.com/casablanca/game/3961421/boxscore.json
114,https://www.ncaa.com/game/4034601,https://data.ncaa.com/casablanca/game/4034601/boxscore.json
115,https://www.ncaa.com/game/4034065,https://data.ncaa.com/casablanca/game/4034065/boxscore.json
116,https://www.ncaa.com/game/3961482,https://data.ncaa.com/casablanca/game/3961482/boxscore.json
117,https://www.ncaa.com/game/3961490,https://data.ncaa.com/casablanca/game/3961490/boxscore.json
118,https://www.ncaa.com/game/3961491,https://data.ncaa.com/casablanca/game/3961491/boxscore.json
119,https://www.ncaa.com/game/3961503,https://data.ncaa.com/casablanca/game/3961503/boxscore.json
120,https://www.ncaa.com/game/4037885,https://data.ncaa.com/casablanca/game/4037885/boxscore.json
121,https://www.ncaa.com/game/4038209,https://data.ncaa.com/casablanca/game/4038209/boxscore.json
122,https://www.ncaa.com/game/4038849,https://data.ncaa.com/casablanca/game/4038849/boxscore.json
123,https://www.ncaa.com/game/3961576,https://data.ncaa.com/casablanca/game/3961576/boxscore.json
124,https://www.ncaa.com/game/3961579,https://data.ncaa.com/casablanca/game/3961579/boxscore.json
125,https://www.ncaa.com/game/3961580,https://data.ncaa.com/casablanca/game/3961580/boxscore.json
126,https://www.ncaa.com/game/3961591,https://data.ncaa.com/casablanca/game/3961591/boxscore.json
